TABLE_CATALOG                                                                                                                   ,TABLE_SCHEMA                                                                                                                    ,TABLE_NAME                                                                                                                      ,COLUMN_NAME                                                                                                                     ,ORDINAL_POSITION,COLUMN_DEFAULT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,IS_NULLABLE,DATA_TYPE                                                                                                                       ,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG                                                                                                           ,CHARACTER_SET_SCHEMA                                                                                                            ,CHARACTER_SET_NAME                                                                                                              ,COLLATION_CATALOG                                                                                                               ,COLLATION_SCHEMA                                                                                                                ,COLLATION_NAME                                                                                                                  ,DOMAIN_CATALOG                                                                                                                  ,DOMAIN_SCHEMA                                                                                                                   ,DOMAIN_NAME                                                                                                                     
TestDB                                                                                                                          ,dbo                                                                                                                             ,Inventory                                                                                                                       ,id                                                                                                                              ,               1,NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,YES        ,int                                                                                                                             ,                    NULL,                  NULL,               10,                     10,            0,              NULL,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            
TestDB                                                                                                                          ,dbo                                                                                                                             ,Inventory                                                                                                                       ,name                                                                                                                            ,               2,NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,YES        ,nvarchar                                                                                                                        ,                      50,                   100,             NULL,                   NULL,         NULL,              NULL,NULL                                                                                                                            ,NULL                                                                                                                            ,UNICODE                                                                                                                         ,NULL                                                                                                                            ,NULL                                                                                                                            ,SQL_Latin1_General_CP1_CI_AS                                                                                                    ,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            
TestDB                                                                                                                          ,dbo                                                                                                                             ,Inventory                                                                                                                       ,quantity                                                                                                                        ,               3,NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,YES        ,int                                                                                                                             ,                    NULL,                  NULL,               10,                     10,            0,              NULL,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            
TestDB                                                                                                                          ,dbo                                                                                                                             ,Books                                                                                                                           ,Id                                                                                                                              ,               1,NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,NO         ,int                                                                                                                             ,                    NULL,                  NULL,               10,                     10,            0,              NULL,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            
TestDB                                                                                                                          ,dbo                                                                                                                             ,Books                                                                                                                           ,Name                                                                                                                            ,               2,NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,NO         ,varchar                                                                                                                         ,                      50,                    50,             NULL,                   NULL,         NULL,              NULL,NULL                                                                                                                            ,NULL                                                                                                                            ,iso_1                                                                                                                           ,NULL                                                                                                                            ,NULL                                                                                                                            ,SQL_Latin1_General_CP1_CI_AS                                                                                                    ,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            
TestDB                                                                                                                          ,dbo                                                                                                                             ,Books                                                                                                                           ,Price                                                                                                                           ,               3,NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,YES        ,int                                                                                                                             ,                    NULL,                  NULL,               10,                     10,            0,              NULL,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            ,NULL                                                                                                                            

